PM2.5,PM10,NO2,SO2,CO,O3,AQI
243.02,346.74,179.18,89.99,0.33,128.75,226.65
297.2,64.39,177.84,16.66,1.78,33.36,191.78
126.72,231.99,110.63,82.95,0.21,52.77,133.07
114.75,348.51,131.05,30.55,1.43,68.34,170.07
234.04,237.41,111.35,81.24,4.32,144.5,252.46
105.54,290.03,14.99,92.19,0.28,57.97,124.57
279.57,155.1,150.37,43.89,2.24,60.26,212.39
258.23,46.06,103.54,37.77,0.68,99.75,156.92
131.55,188.58,131.3,80.62,2.14,65.78,160.1
226.51,163.85,103.01,53.89,4.21,142.93,228.81
227.59,348.15,100.9,69.08,3.15,134.7,250.21
35.42,105.16,38.5,63.04,3.71,79.44,114.85
271.25,387.03,59.35,16.98,1.81,98.49,238.44
154.05,383.67,35.98,84.79,4.73,13.41,225.16
248.8,106.58,43.15,21.19,3.58,105.88,198.94
99.41,145.74,194.73,93.36,2.17,107.54,156.09
269.18,359.27,34.86,26.56,2.19,57.08,228.82
119.81,386.98,57.51,73.92,4.6,36.85,215.89
8.2,182.94,120.16,29.9,2.92,137.69,125.4
272.09,135.19,123.98,33.14,3.56,66.87,221.23
31.93,215.18,35.02,32.38,2.14,99.79,111.42
99.2,278.23,159.77,75.29,1.2,9.83,146.24
285.27,116.66,158.11,56.57,3.65,65.04,231.25
285.43,297.22,51.28,88.53,3.08,123.5,254.86
174.16,30.15,61.29,32.12,2.56,61.2,135.63
191.39,29.22,187.91,69.82,3.16,92.46,178.8
137.29,160.65,166.01,75.79,1.12,35.43,141.65
91.5,147.85,141.07,16.85,3.99,65.4,158.68
101.96,133.1,21.04,41.26,4.75,139.51,166.8
203.39,201.5,86.56,49.32,4.47,87.14,219.64
226.95,135.09,114.06,36.86,1.68,135.78,184.09
238.52,84.98,41.55,33.57,2.09,135.79,173.7
237.94,130.69,92.4,69.27,4.06,141.9,224.3
31.91,390.21,122.2,23.15,3.02,134.83,176.92
150.85,170.33,68.84,71.52,2.78,5.48,154.48
21.98,183.44,157.28,93.63,4.64,140.43,169.11
167.11,234.85,168.89,57.39,2.73,24.93,189.52
135.25,393.5,68.1,61.92,2.62,10.79,190.18
266.87,104.22,168.54,8.76,0.31,13.03,160.29
108.52,275.7,25.2,86.72,0.44,55.59,125.94
39.53,289.23,168.36,29.97,0.14,95.02,118.21
47.18,246.86,34.79,62.28,4.57,63.34,157.81
229.65,44.55,21.17,97.95,2.1,8.71,146.56
187.37,273.98,130.15,60.36,2.4,74.09,202.36
34.83,35.0,97.03,73.02,4.24,69.11,116.79
29.81,242.5,182.04,45.64,3.09,114.74,155.78
211.79,298.44,75.82,7.92,3.09,45.54,209.7
26.47,92.28,60.99,80.16,1.55,36.54,74.98
247.45,338.23,102.64,5.43,4.19,42.11,251.67
213.34,21.84,93.91,70.66,0.91,49.04,131.9
29.0,339.09,72.16,4.25,0.36,91.88,109.85
30.03,189.53,140.28,86.51,1.04,73.37,106.2
296.06,94.86,153.11,17.45,1.41,53.85,191.36
115.41,62.17,171.33,52.4,1.48,59.28,120.68
114.34,381.79,194.71,60.52,3.39,58.78,216.95
244.78,38.34,57.0,46.84,1.17,146.0,158.22
284.44,87.65,144.64,35.39,3.42,38.78,213.59
295.87,145.65,81.88,47.85,0.55,123.62,191.29
227.25,251.89,137.03,32.52,0.82,107.69,193.56
116.0,222.47,97.82,44.94,2.59,5.81,149.83
29.63,59.0,198.79,37.17,4.62,149.01,148.8
234.26,122.99,147.14,57.49,4.31,114.68,228.0
169.73,103.11,190.74,25.32,4.85,103.96,207.95
130.15,93.28,167.82,98.89,3.29,63.77,164.65
272.37,170.35,181.07,51.09,3.41,85.5,239.29
37.8,284.57,163.81,21.03,3.16,41.72,152.41
150.32,94.81,94.54,48.75,3.15,10.15,146.95
8.35,153.0,54.1,86.91,0.82,126.22,81.99
143.25,162.46,77.21,4.14,2.76,134.99,163.5
21.61,390.82,8.95,68.6,1.99,28.56,129.17
40.05,382.32,107.18,55.7,2.27,119.12,166.03
39.67,322.05,103.49,18.62,2.67,112.47,154.52
196.52,104.25,107.42,82.11,0.73,30.86,139.35
225.08,36.53,194.94,38.15,1.86,66.17,168.24
177.09,133.59,182.73,30.79,0.41,66.3,144.15
288.84,114.05,36.53,83.16,4.9,115.19,242.93
115.59,207.31,76.93,64.58,0.68,126.46,134.88
89.29,313.31,87.67,90.03,1.37,18.74,143.84
261.24,344.75,75.3,63.73,4.47,86.63,271.12
70.96,339.5,160.71,74.6,2.47,115.45,182.15
289.15,150.27,107.19,83.97,0.76,119.0,199.51
8.59,278.02,116.56,7.36,1.98,26.46,110.97
291.11,132.01,171.34,78.05,0.67,81.2,198.55
17.73,33.75,162.16,62.14,1.08,129.35,80.0
267.89,283.61,30.78,8.81,0.35,51.19,182.38
160.67,13.83,144.21,51.84,2.25,66.64,137.56
297.92,169.58,89.91,10.08,4.05,121.63,246.61
26.77,138.46,62.46,74.12,2.97,17.95,102.44
168.39,280.42,14.75,55.56,3.07,129.63,196.72
290.94,308.84,100.01,95.45,1.08,50.12,226.45
159.31,128.6,74.31,19.95,1.79,5.21,130.14
190.67,326.53,54.05,61.39,4.24,38.95,225.29
210.25,124.63,140.46,22.74,0.53,17.98,143.02
139.09,184.07,155.05,62.18,4.3,18.4,189.24
190.13,293.54,52.73,72.82,2.47,105.46,202.82
177.37,280.24,14.64,72.79,4.2,36.03,204.91
270.84,395.07,170.51,81.88,1.66,140.54,267.07
18.41,97.81,6.94,85.65,1.76,79.88,74.92
87.88,268.3,187.74,9.57,3.78,71.71,185.43
285.37,247.78,127.39,35.64,3.95,67.97,255.77
267.63,366.89,67.76,69.34,1.23,105.43,231.72
139.42,70.98,53.06,50.86,4.87,70.58,166.6
187.94,303.2,6.76,20.69,0.51,23.65,150.16
86.83,231.62,50.92,56.17,0.44,132.62,120.74
60.5,117.12,31.86,41.93,3.02,67.12,111.93
141.79,195.03,124.37,40.22,3.64,15.73,175.38
109.24,140.17,37.48,81.36,4.81,81.76,169.88
177.18,235.93,108.08,41.94,2.08,98.87,184.56
27.93,356.71,120.07,4.59,0.22,44.96,111.09
